,Area,N_vertices,Perimetro,Class
637,23825.5,4,713.4183894395828,5
638,23836.5,4,711.4183897972107,5
639,23817.5,4,711.4183895587921,5
640,20769.0,4,641.6366428136826,5
641,20761.0,4,641.6366426944733,5
642,20755.5,4,642.222429394722,5
643,20769.5,4,642.2224292755127,5
644,21989.5,4,663.4183878898621,5
645,21951.0,4,665.1757479906082,5
646,21921.0,4,660.8326013088226,5
647,21953.0,4,660.8326028585434,5
648,24551.5,4,729.8204089403152,5
649,24593.5,4,729.4772629737854,5
650,24590.5,4,730.6488350629807,5
651,24552.5,4,729.8204079866409,5
652,17404.5,4,591.5361400842667,5
653,17393.0,4,590.1219261884689,5
654,17391.0,4,592.1219254732132,5
655,17405.0,4,594.1219259500504,5
656,1952.0,9,1341.0966659784317,5
657,23966.0,4,712.1463122367859,5
658,23970.5,4,711.5605257749557,5
659,1963.0,8,1341.0966665744781,5
660,0.0,2,2.8284270763397217,5
661,79.0,2,89.88225150108337,5
662,74.5,2,92.46803784370422,5
663,80.5,2,91.2964655160904,5
664,13412.5,5,631.796024441719,5
665,13406.0,5,630.3818113803864,5
666,13408.5,5,629.796024441719,5
667,13416.5,5,630.6244513988495,5
668,1789.5,8,1263.221559047699,5
669,22060.5,4,675.0163717269897,5
670,22054.5,4,673.8447976112366,5
671,1781.0,8,1262.635773897171,5
672,18085.5,4,581.3351316452026,5
673,18088.0,4,580.7493451833725,5
674,18090.0,4,581.5777721405029,5
675,18081.0,4,580.7493447065353,5
676,33.5,3,36.041629791259766,5
677,9.5,6,13.071067571640015,5
678,9.5,6,13.071067571640015,5
679,33.0,3,36.627416491508484,5
680,20248.5,4,744.7422015666962,5
681,20207.0,4,748.0142794847488,5
682,1375.0,8,1405.744290113449,5
683,655.0,4,691.1858526468277,5
684,9380.5,4,475.0609612464905,5
685,9435.5,4,470.7178155183792,5
686,9438.0,4,470.4751764535904,5
687,9412.5,4,469.4041087627411,5
688,7717.5,4,467.4041098356247,5
689,7754.5,4,462.57568287849426,5
690,7739.0,4,462.818323969841,5
691,7717.0,4,466.47517800331116,5
692,11128.5,4,554.575684428215,5
693,10991.5,4,558.2325384616852,5
694,10986.5,4,557.0609654188156,5
695,11128.0,4,555.1614708900452,5
696,13993.0,4,580.7594466209412,5
697,13861.5,4,584.658941745758,5
698,13860.5,4,585.4873683452606,5
699,13992.0,4,578.7594470977783,5
700,211.5,2,196.14927792549133,5
701,208.0,2,196.73506474494934,5
702,207.0,2,196.73506438732147,5
703,212.0,2,195.56349194049835,5
704,12542.0,4,580.0731574296951,5
705,12634.5,4,577.1442246437073,5
706,12651.0,4,572.9015843868256,5
707,12526.0,4,575.7300122976303,5
708,1185.0,8,1152.2640616893768,5
709,1204.5,8,1155.3351308107376,5
710,1200.5,7,1152.506704211235,5
711,1160.5,8,1151.6782757043839,5
712,357.0,4,395.3380936384201,5
713,1215.0,7,1152.0041731595993,5
714,1225.0,7,1154.3473187685013,5
715,359.0,4,397.3380937576294,5
716,204.0,2,245.11269783973694,6
717,811.0,6,772.9949476718903,6
718,1019.0,8,1032.1076455116272,6
719,1025.5,8,1025.8650048971176,6
720,216.0,2,268.08326029777527,6
721,696.0,6,817.4802289009094,6
722,210.0,2,268.4264061450958,6
723,210.0,2,268.4264061450958,6
724,790.5,8,1082.9188276529312,6
725,818.5,8,1082.0904005765915,6
726,896.0,8,1082.6761869192123,6
727,876.5,8,1080.918827533722,6
728,16190.0,4,542.0243852138519,6
729,16189.5,4,537.7817445993423,6
730,16290.5,4,532.9533175230026,6
731,16284.0,4,537.1959581375122,6
732,1011.0,8,1121.4213536977768,6
733,966.0,8,1125.421353816986,6
734,935.0,8,1126.2497808933258,6
735,957.0,8,1123.7644996643066,6
736,802.5,6,967.722869515419,6
737,214.5,2,280.6690467596054,6
738,214.5,2,280.6690467596054,6
739,210.0,2,280.4264061450958,6
740,275.0,2,271.94112491607666,6
741,251.0,2,272.2842707633972,6
742,566.5,4,661.0954529047012,6
743,231.5,2,322.5269113779068,6
744,829.0,8,1268.4751765727997,6
745,330.0,4,641.6812393665314,6
746,483.5,4,618.5512965917587,6
747,860.5,8,1267.0609630346298,6
748,305.5,2,309.9827550649643,6
749,682.0,6,820.5096664428711,6
750,317.0,2,308.911687374115,6
751,318.0,2,308.911687374115,6
752,1405.0,8,1012.3086559772491,6
753,1414.5,8,1012.5512965917587,6
754,1406.0,8,1015.9655101299286,6
755,15612.0,4,528.2253956794739,6
756,13638.0,4,602.1665205955505,6
757,13620.0,4,600.9949476718903,6
758,13613.0,4,597.3380935192108,6
759,13634.0,4,598.5096664428711,6
760,12243.0,4,498.85281205177307,6
761,12221.0,4,501.1959581375122,6
762,12150.0,4,508.02438521385193,6
763,12192.5,4,503.4385986328125,6
764,389.5,2,277.01219260692596,6
765,23.5,4,47.899494767189026,6
766,408.0,3,316.08326029777527,6
767,5.0,5,8.828427076339722,6
768,15764.0,4,615.6812392473221,6
769,15668.0,4,622.9949474334717,6
770,15661.5,4,620.7523068189621,6
771,15760.0,4,612.8528119325638,6
772,13684.0,4,539.5391039848328,6
773,13630.5,4,543.7817445993423,6
774,13694.0,4,535.8822498321533,6
775,13746.0,4,531.0538227558136,6
776,13979.0,4,517.3969686031342,6
777,14010.0,4,523.0538227558136,6
778,14056.0,4,523.0538227558136,6
779,13994.0,4,520.2253956794739,6
780,14317.0,4,512.911687374115,6
781,14270.0,4,515.7401144504547,6
782,14250.5,4,518.811182141304,6
783,14291.0,4,516.2253955602646,6
784,16497.5,4,587.9238798618317,6
785,16413.5,4,589.4385987520218,6
786,16320.0,4,597.3380935192108,6
787,16404.5,4,596.7523070573807,6
788,923.0,8,984.3086558580399,6
789,859.0,8,988.793937087059,6
790,891.0,8,989.9655100107193,6
791,955.5,8,986.0660152435303,6
792,7572.5,4,366.9533175230026,6
793,7591.0,4,366.3675310611725,6
794,7584.0,4,367.53910398483276,6
795,7568.0,4,366.3675310611725,6
796,239.5,2,264.46803629398346,6
797,835.0,6,836.6761870384216,6
798,18165.0,4,571.7644996643066,6
799,1094.0,8,1106.073155760765,6
800,1237.0,8,1471.5878744125366,6
801,1250.0,8,1475.3868639469147,6
802,1268.0,8,1473.7300097942352,6
803,1282.5,8,1468.1736608743668,6
804,172.0,2,198.08326029777527,6
805,178.5,2,197.8406196832657,6
806,793.0,8,909.3624786138535,6
807,811.0,8,910.1909056901932,6
808,13316.5,4,532.4091612100601,6
809,13255.5,4,538.0660153627396,6
810,13272.0,4,538.6518018245697,6
811,13322.0,4,531.82337474823,6
812,1056.0,8,1126.8183221817017,6
813,1014.0,8,1134.4751765727997,6
814,1009.5,8,1136.2325357198715,6
815,1056.0,8,1125.1614682674408,6
816,13263.0,4,512.7939372062683,6
817,13269.5,4,510.5512965917587,6
818,13263.5,4,508.5512965917587,6
819,13259.5,4,510.20815074443817,6
820,11447.0,4,479.3380934000015,6
821,11508.0,4,471.6812392473221,6
822,11567.0,4,466.85281217098236,6
823,11511.5,4,475.09545278549194,6
824,22386.5,4,660.835567355156,6
825,22335.5,4,669.6639943122864,6
826,22357.5,4,670.4924215078354,6
827,22388.5,4,664.4924215078354,6
828,15876.5,4,551.1787132024765,6
